p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p30,p32,p33,p34,p35,p37,p38,p39,p40,p41,p42,p43,p44,p45,Puntaje Total,Personalidad,Clasificacion
3.0,3,3,3,3,3,3.0,3,3,3.0,3,3,3,3,3,3,3,3.0,3,3.0,3,3.0,3,3.0,3,3,3,3.0,3,3,3,3,3.0,3,3,3.0,3,3,3,3.0,3,123.0,Ambivertido,Ambivertido
3.0,3,3,2,2,2,3.0,3,3,3.0,1,3,2,3,2,1,3,2.0,3,3.0,2,3.0,2,2.0,2,3,1,3.0,1,3,3,2,2.0,3,2,3.0,2,2,3,3.0,2,99.0,Ambivertido,Ambivertido
3.0,3,3,5,3,3,1.0,3,3,3.0,5,1,4,3,3,3,3,3.0,2,3.0,3,3.0,3,3.0,3,3,3,3.0,3,3,3,3,3.0,3,3,3.0,3,3,3,3.0,3,123.0,Ambivertido,Ambivertido
3.0,4,2,4,5,3,3.0,1,1,3.0,3,2,2,2,2,3,3,2.0,2,3.0,3,4.0,3,3.0,3,2,3,3.0,2,3,4,3,2.0,3,2,3.0,2,1,1,3.0,3,109.0,Ambivertido,Ambivertido
